Data,Contagem,Links
06/1984,58,https://nuforc.org/webreports/ndxe198406.html
05/1984,13,https://nuforc.org/webreports/ndxe198405.html
04/1984,9,https://nuforc.org/webreports/ndxe198404.html
03/1984,11,https://nuforc.org/webreports/ndxe198403.html
02/1984,6,https://nuforc.org/webreports/ndxe198402.html
01/1984,8,https://nuforc.org/webreports/ndxe198401.html
12/1983,9,https://nuforc.org/webreports/ndxe198312.html
11/1983,8,https://nuforc.org/webreports/ndxe198311.html
10/1983,14,https://nuforc.org/webreports/ndxe198310.html
09/1983,20,https://nuforc.org/webreports/ndxe198309.html
08/1983,21,https://nuforc.org/webreports/ndxe198308.html
07/1983,35,https://nuforc.org/webreports/ndxe198307.html
06/1983,62,https://nuforc.org/webreports/ndxe198306.html
05/1983,20,https://nuforc.org/webreports/ndxe198305.html
04/1983,26,https://nuforc.org/webreports/ndxe198304.html
03/1983,8,https://nuforc.org/webreports/ndxe198303.html
02/1983,4,https://nuforc.org/webreports/ndxe198302.html
01/1983,5,https://nuforc.org/webreports/ndxe198301.html
12/1982,10,https://nuforc.org/webreports/ndxe198212.html
11/1982,9,https://nuforc.org/webreports/ndxe198211.html
10/1982,25,https://nuforc.org/webreports/ndxe198210.html
09/1982,21,https://nuforc.org/webreports/ndxe198209.html
08/1982,25,https://nuforc.org/webreports/ndxe198208.html
07/1982,38,https://nuforc.org/webreports/ndxe198207.html
